@relation DARPA_a-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement

@attribute duration numeric
@attribute ' protocol_type' {tcp,icmp,udp}
@attribute ' service' {http,telnet,ftp_data,ftp,login,imap4,private,smtp,time,mtp,rje,link,remote_job,gopher,ssh,name,finger,whois,domain,eco_i,ecr_i,ctf,pop_3,nntp,domain_u,auth,ntp_u,other,shell,IRC,urh_i,X11,urp_i,tftp_u,tim_i,red_i,daytime,systat,hostnames,sunrpc,netstat,supdup,csnet_ns,vmnet,printer,uucp_path,netbios_ns,sql_net,Z39_50,efs,courier,uucp,echo,http_443,netbios_ssn,pm_dump,discard}
@attribute ' flag' {SF,RSTR,S2,S1,RSTO,S3,SH,S0,REJ,OTH,RSTOS0}
@attribute ' src_bytes' numeric
@attribute ' dst_bytes' numeric
@attribute ' land' numeric
@attribute ' wrong_fragment' numeric
@attribute ' urgent' numeric
@attribute ' hot' numeric
@attribute ' num_failed_logins' numeric
@attribute ' logged_in' numeric
@attribute ' num_compromised' numeric
@attribute ' root_shell' numeric
@attribute ' su_attempted' numeric
@attribute ' num_root' numeric
@attribute ' num_file_creations' numeric
@attribute ' num_shells' numeric
@attribute ' num_access_files' numeric
@attribute ' num_outbound_cmds' numeric
@attribute ' is_host_login' numeric
@attribute ' is_guest_login' numeric
@attribute ' count' numeric
@attribute ' srv_count' numeric
@attribute ' serror_rate' numeric
@attribute ' srv_serror_rate' numeric
@attribute ' rerror_rate' numeric
@attribute ' srv_rerror_rate' numeric
@attribute ' same_srv_rate' numeric
@attribute ' diff_srv_rate' numeric
@attribute ' srv_diff_host_rate' numeric
@attribute ' dst_host_count' numeric
@attribute ' dst_host_srv_count' numeric
@attribute ' dst_host_same_srv_rate' numeric
@attribute ' dst_host_diff_srv_rate' numeric
@attribute ' dst_host_same_src_port_rate' numeric
@attribute ' dst_host_srv_diff_host_rate' numeric
@attribute ' dst_host_serror_rate' numeric
@attribute ' dst_host_srv_serror_rate' numeric
@attribute ' dst_host_rerror_rate' numeric
@attribute ' dst_host_srv_rerror_rate' numeric
@attribute class {back.,buffer_overflow.,ftp_write.,guess_passwd.,imap.,ipsweep.,land.,loadmodule.,multihop.,nmap.,normal.,perl.,phf.,pod.,portsweep.,rootkit.,satan.,spy.,teardrop.,warezclient.,warezmaster.}

@data
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0.25,0.25,1,0,0,21,21,1,0,0.05,0,0,0,0.1,0.1,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,30,30,1,0,0.03,0,0,0,0.07,0.07,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,42,42,1,0,0.02,0,0,0,0.05,0.05,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,58,58,1,0,0.02,0,0,0,0.03,0.03,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,59,59,1,0,0.02,0,0,0,0.03,0.03,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0.8,0.4,0,66,66,1,0,0.02,0,0,0,0.03,0.03,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,91,91,1,0,0.01,0,0,0,0.04,0.04,back.
0,tcp,http,RSTR,15492,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,5,0,0,0.25,0.4,1,0,0.4,96,96,1,0,0.01,0,0,0,0.05,0.05,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0.17,0.17,1,0,0,99,99,1,0,0.01,0,0,0,0.05,0.05,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,11,12,0,0,0.09,0.17,1,0,0.17,120,120,1,0,0.01,0,0,0,0.05,0.05,back.
0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0.14,1,0,0.29,127,127,1,0,0.01,0,0,0,0.05,0.05,back.
